股票代號,年月,單月營收 (億元),營收年增率 (YoY%),營收月增率 (MoM%),最後更新時間
0054,無資料,0.0,0.0,0.0,2026-07-03 09:54:56
0058,無資料,0.0,0.0,0.0,2026-07-03 09:54:56
0059,無資料,0.0,0.0,0.0,2026-07-03 09:54:56
0060,無資料,0.0,0.0,0.0,2026-07-03 09:54:56
0080,無資料,0.0,0.0,0.0,2026-07-03 09:54:56
0081,無資料,0.0,0.0,0.0,2026-07-03 09:54:56
1107,無資料,0.0,0.0,0.0,2026-07-03 08:00:44
1230,無資料,0.0,0.0,0.0,2026-07-03 08:00:44
1258,無資料,0.0,0.0,0.0,2026-07-03 08:00:44
1259,2024-01,4.9,0.0,0.0,2026-07-02 05:23:58
1259,2024-02,4.94,0.0,0.0,2026-07-02 05:23:58
1259,2024-03,4.95,0.0,0.0,2026-07-02 05:23:58
1259,2024-04,5.04,0.0,0.0,2026-07-02 05:23:58
1259,2024-05,4.82,0.0,0.0,2026-07-02 05:23:58
1259,2024-06,5.23,0.0,0.0,2026-07-02 05:23:58
1259,2024-07,5.2,0.0,0.0,2026-07-02 05:23:58
1259,2024-08,5.17,0.0,0.0,2026-07-02 05:23:58
1259,2024-09,5.36,0.0,0.0,2026-07-02 05:23:58
1259,2024-10,5.03,0.0,0.0,2026-07-02 05:23:58
1259,2024-11,4.96,0.0,0.0,2026-07-02 05:23:58
1259,2024-12,4.95,0.0,0.0,2026-07-02 05:23:58
1259,2025-01,4.9,0.0,0.0,2026-07-02 05:23:58
1259,2025-02,5.33,0.0,0.0,2026-07-02 05:23:58
1259,2025-03,4.43,0.0,0.0,2026-07-02 05:23:58
1259,2025-04,4.94,0.0,0.0,2026-07-02 05:23:58
1259,2025-05,4.79,0.0,0.0,2026-07-02 05:23:58
1259,2025-06,5.32,0.0,0.0,2026-07-02 05:23:58
1259,2025-07,5.18,0.0,0.0,2026-07-02 05:23:58
1259,2025-08,5.11,0.0,0.0,2026-07-02 05:23:58
1259,2025-09,5.19,0.0,0.0,2026-07-02 05:23:58
1259,2025-10,5.05,0.0,0.0,2026-07-02 05:23:58
1259,2025-11,5.18,0.0,0.0,2026-07-02 05:23:58
1259,2025-12,5.04,0.0,0.0,2026-07-02 05:23:58
1259,2026-01,5.08,0.0,0.0,2026-07-02 05:23:58
1259,2026-02,5.11,0.0,0.0,2026-07-02 05:23:58
1259,2026-03,4.94,0.0,0.0,2026-07-02 05:23:58
1259,2026-04,5.18,0.0,0.0,2026-07-02 05:23:58
1259,2026-05,4.89,0.0,0.0,2026-07-02 05:23:58
1259,2026-06,5.47,0.0,0.0,2026-07-02 05:23:58
1262,無資料,0.0,0.0,0.0,2026-07-03 08:00:44
1268,2024-01,5.01,0.0,0.0,2026-07-02 05:23:58
1268,2024-02,5.56,0.0,0.0,2026-07-02 05:23:58
1268,2024-03,6.36,0.0,0.0,2026-07-02 05:23:58
1268,2024-04,4.87,0.0,0.0,2026-07-02 05:23:58
1268,2024-05,3.86,0.0,0.0,2026-07-02 05:23:58
1268,2024-06,4.44,0.0,0.0,2026-07-02 05:23:58
1268,2024-07,4.85,0.0,0.0,2026-07-02 05:23:58
1268,2024-08,4.4,0.0,0.0,2026-07-02 05:23:58
1268,2024-09,4.71,0.0,0.0,2026-07-02 05:23:58
1268,2024-10,5.2,0.0,0.0,2026-07-02 05:23:58
1268,2024-11,4.42,0.0,0.0,2026-07-02 05:23:58
1268,2024-12,4.88,0.0,0.0,2026-07-02 05:23:58
1268,2025-01,5.74,0.0,0.0,2026-07-02 05:23:58
1268,2025-02,7.82,0.0,0.0,2026-07-02 05:23:58
1268,2025-03,4.66,0.0,0.0,2026-07-02 05:23:58
1268,2025-04,4.87,0.0,0.0,2026-07-02 05:23:58
1268,2025-05,4.1,0.0,0.0,2026-07-02 05:23:58
1268,2025-06,5.39,0.0,0.0,2026-07-02 05:23:58
